freq,word,pron,type1
16,顧問,コモン,名詞
16,読ん,ヨン,動詞
16,それなら,ソレナラ,接続詞
16,そんなに,ソンナニ,副詞
15,本当,ホントー,名詞
15,誕生,タンジョー,名詞
15,どうしても,ドーシテモ,副詞
15,お客,オキャク,名詞
15,とも,トモ,助詞
15,ほど,ホド,助詞
15,うわ,ウワ,感動詞
15,バカ,バカ,名詞
15,やつ,ヤツ,名詞
15,もらう,モラウ,動詞
15,おめでとう,オメデトー,感動詞
15,なきゃ,ナキャ,助動詞
15,思い出し,オモイダシ,動詞
15,邪魔,ジャマ,名詞
15,ばかり,バカリ,助詞
15,帰っ,カエッ,動詞
15,何だ,ナンダ,感動詞
15,休み,ヤスミ,動詞
15,幸村,ユキムラ,名詞
15,存在,ソンザイ,名詞
15,少女,ショージョ,名詞
14,みっ,ミッ,動詞
14,あと,アト,名詞
14,がっ,ガッ,動詞
14,すれ,スレ,動詞
14,すぐ,スグ,副詞
14,よし,ヨシ,形容詞
14,教え,オシエ,動詞
14,ずいぶん,ズイブン,副詞
14,どういう,ドーユウ,連体詞
14,どうせ,ドーセ,副詞
14,ながら,ナガラ,助詞
14,部長,ブチョー,名詞
14,舞台,ブタイ,名詞
14,すかっ,スカッ,形容詞
14,会い,アイ,動詞
14,会っ,アッ,動詞
14,たかっ,タカッ,助動詞
14,結構,ケッコー,副詞
14,陽平,ヨーヘイ,名詞
14,言え,イエ,動詞
14,それでも,ソレデモ,接続詞
14,見せ,ミセ,動詞
13,昨日,キノー,名詞
13,募集,ボシュー,名詞
13,もうすぐ,モースグ,副詞
13,趣味,シュミ,名詞
13,たろ,タロ,助動詞
13,つけ,ツケ,動詞
13,ねん,ネン,助詞
13,なし,ナシ,形容詞
13,なれ,ナレ,動詞
13,まま,ママ,名詞
13,いま,イマ,名詞
13,いか,イカ,動詞
13,おお,オー,感動詞
13,おっ,オッ,動詞
13,たま,タマ,名詞
13,すん,スン,動詞
13,やろ,ヤロ,動詞
13,助け,タスケ,動詞
13,大好き,ダイスキ,名詞
13,勉強,ベンキョー,名詞
13,遅刻,チコク,名詞
13,占い,ウラナイ,名詞
13,彫刻,チョーコク,名詞
13,活動,カツドー,名詞
13,そりゃ,ソリャ,名詞
13,そっち,ソッチ,名詞
13,初めて,ハジメテ,副詞
13,始め,ハジメ,動詞
13,大切,タイセツ,名詞
13,それでは,ソレデワ,接続詞
13,お祝い,オイワイ,名詞
13,いろいろ,イロイロ,副詞
12,負け,マケ,動詞
12,普通,フツー,名詞
12,シュート,シュート,名詞
12,おまじない,オマジナイ,名詞
12,たん,タン,名詞
12,くっ,クッ,動詞
12,さあ,サー,感動詞
12,そっ,ソッ,名詞
12,いらっしゃい,イラッシャイ,動詞
12,教室,キョーシツ,名詞
12,やら,ヤラ,動詞
12,遊び,アソビ,名詞
12,もしか,モシカ,副詞
12,出し,ダシ,動詞
12,ふーん,フーン,感動詞
12,部活,ブカツ,名詞
12,創立,ソーリツ,名詞
12,見つけ,ミツケ,動詞
12,勝手,カッテ,名詞
12,姉さん,ネーサン,名詞
12,もちろん,モチロン,副詞
12,自信,ジシン,名詞
12,帰り,カエリ,動詞
12,皆さん,ミナサン,名詞
12,もう少し,モースコシ,副詞
12,すごく,スゴク,形容詞
12,仕事,シゴト,名詞
12,感じ,カンジ,動詞
12,使っ,ツカッ,動詞
12,今度,コンド,名詞
12,両親,リョーシン,名詞
12,大変,タイヘン,名詞
12,おかげ,オカゲ,名詞
12,ごめん,ゴメン,感動詞
12,そもそも,ソモソモ,副詞
12,音楽,オンガク,名詞
12,学園,ガクエン,名詞
11,説明,セツメイ,名詞
11,論文,ロンブン,名詞
11,買っ,カッ,動詞
11,分かっ,ワカッ,動詞
11,面白い,オモシロイ,形容詞
11,本人,ホンニン,名詞
11,最初,サイショ,名詞
11,すいません,スイマセン,感動詞
11,本気,ホンキ,名詞
11,ショック,ショック,名詞
11,しっかり,シッカリ,副詞
11,図書,トショ,名詞
11,問題,モンダイ,名詞
11,とく,トク,動詞
11,みる,ミル,動詞
11,遊ん,アソン,動詞
11,生き,イキ,動詞
11,小さい,チーサイ,形容詞
11,全部,ゼンブ,名詞
11,冗談,ジョーダン,名詞
11,遠慮,エンリョ,名詞
11,悲しい,カナシイ,形容詞
11,わかり,ワカリ,動詞
11,放課後,ホーカゴ,名詞
11,連中,レンチュー,名詞
11,作る,ツクル,動詞
11,長い,ナガイ,形容詞
11,すぎる,スギル,動詞
11,それで,ソレデ,接続詞
11,聞か,キカ,動詞
11,素敵,ステキ,名詞
11,不良,フリョー,名詞
11,行こ,イコ,動詞
11,さすが,サスガ,副詞
11,簡単,カンタン,名詞
11,決まっ,キマッ,動詞
11,実は,ジツワ,接続詞
11,答え,コタエ,動詞
11,あんな,アンナ,連体詞
10,相談,ソーダン,名詞
10,しばらく,シバラク,副詞
10,分かり,ワカリ,動詞
10,はっきり,ハッキリ,副詞
10,料理,リョーリ,名詞
10,記憶,キオク,名詞
10,ごめんなさい,ゴメンナサイ,感動詞
10,高校,コーコー,名詞
10,お前,オマエ,名詞
10,頑張り,ガンバリ,動詞
10,くださっ,クダサッ,動詞
10,ちっ,チッ,動詞
10,っす,ッス,助動詞
10,っけ,ッケ,助詞
10,ねっ,ネッ,動詞
10,まぁ,マー,感動詞
10,いら,イラ,動詞
10,あら,アラ,名詞
10,こら,コラ,感動詞
10,たっ,タッ,動詞
10,受け取っ,ウケトッ,動詞
10,アホ,アホ,名詞
10,やれ,ヤレ,動詞
10,らしい,ラシイ,助動詞
10,仲間,ナカマ,名詞
10,代わり,カワリ,名詞
10,停学,テイガク,名詞
10,挨拶,アイサツ,名詞
10,幽霊,ユーレイ,名詞
10,呼ぶ,ヨブ,動詞
10,部室,ブシツ,名詞
10,途中,トチュー,名詞
10,美術,ビジュツ,名詞
10,ボタン,ボタン,名詞
10,弁当,ベントー,名詞
10,休ん,ヤスン,動詞
10,他人,タニン,名詞
10,ちゃう,チャウ,動詞
10,集め,アツメ,動詞
10,置い,オイ,動詞
10,続け,ツズケ,動詞
10,女子,ジョシ,名詞
10,行き,イキ,動詞
10,せっかく,セッカク,副詞
10,はじめまして,ハジメマシテ,感動詞
10,仲良く,ナカヨク,副詞
10,変わっ,カワッ,動詞
10,電話,デンワ,名詞
10,下さい,クダサイ,動詞
10,見る,ミル,動詞
10,あげる,アゲル,動詞
10,こういう,コーユウ,連体詞
9,確かめ,タシカメ,動詞
9,駄目,ダメ,名詞
9,貸し,カシ,動詞
9,諦め,アキラメ,動詞
9,お茶,オチャ,名詞
9,名字,ミョージ,名詞
9,わざわざ,ワザワザ,副詞
9,っ子,ッコ,名詞
9,とけ,トケ,動詞
9,なー,ナー,助詞
9,なあ,ナー,助詞
9,ねえ,ネー,助動詞
9,へぇ,ヘー,感動詞
9,べき,ベキ,助動詞
9,クラス,クラス,名詞
9,ええ,エエ,形容詞
9,さぁ,サー,感動詞
9,こい,コイ,動詞
9,せる,セル,動詞
9,ウチ,ウチ,名詞
9,書い,カイ,動詞
9,こないだ,コナイダ,名詞
9,わぁ,ワー,感動詞
9,やめ,ヤメ,動詞
9,りえ,リエ,名詞
9,入学,ニューガク,名詞
9,よしっ,ヨシッ,感動詞
9,いっぱい,イッパイ,副詞
9,感謝,カンシャ,名詞
9,もらい,モライ,動詞
9,返し,カエシ,動詞
9,人間,ニンゲン,名詞
9,とりあえず,トリアエズ,副詞
9,無駄,ムダ,名詞
9,男の子,オトコノコ,名詞
9,いただき,イタダキ,動詞
9,復活,フッカツ,名詞
9,ぬいぐるみ,ヌイグルミ,名詞
9,本当は,ホントーワ,副詞
9,近所,キンジョ,名詞
9,元気,ゲンキ,名詞
9,よーし,ヨーシ,感動詞
9,自然,シゼン,名詞
9,はいっ,ハイッ,動詞
9,とにかく,トニカク,副詞
9,はーい,ハーイ,感動詞
9,帰る,カエル,動詞
9,ひょっと,ヒョット,名詞
9,会わ,アワ,動詞
9,兄ちゃん,ニーチャン,名詞
9,もらえる,モラエル,動詞
9,一応,イチオー,副詞
9,つまり,ツマリ,動詞
9,僕ら,ボクラ,名詞
9,ってな,ッテナ,助詞
9,絵本,エホン,名詞
9,思わ,オモワ,動詞
9,チラシ,チラシ,名詞
9,嫌い,キライ,名詞
9,うまく,ウマク,形容詞
9,かよっ,カヨッ,動詞
9,優しい,ヤサシイ,形容詞
9,次第,シダイ,名詞
9,忙しい,イソガシイ,形容詞
9,小僧,コゾー,名詞
